1000, 1000
x軸, y軸（補正なし）, ypos（補正あり）
699, 459, 447
699, 468, 456
697, 464, 452
694, 463, 451
685, 459, 447
706, 457, 445
693, 458, 446
700, 459, 447
698, 461, 449
681, 459, 447
696, 462, 450
700, 462, 450
709, 459, 447
695, 464, 452
697, 463, 451
699, 461, 449
691, 460, 448
701, 462, 450
699, 459, 447
701, 464, 452
692, 461, 449
695, 461, 449
704, 460, 448
672, 455, 443
699, 464, 452
701, 460, 448
687, 462, 450
690, 462, 450
695, 456, 444
685, 460, 448
699, 464, 452
712, 461, 449
690, 456, 444
687, 459, 447
698, 462, 450
699, 462, 450
688, 461, 449
680, 460, 448
691, 461, 449
699, 458, 446
693, 458, 446
714, 461, 449
685, 459, 447
682, 459, 447
687, 460, 448
687, 459, 447
691, 460, 448
689, 463, 451
695, 460, 448
690, 459, 447
686, 459, 447
689, 462, 450
682, 457, 445
694, 462, 450
688, 461, 449
679, 457, 445
692, 460, 448
701, 462, 450
699, 468, 456
683, 459, 447
691, 459, 447
700, 461, 449
695, 461, 449
699, 457, 445
712, 464, 452
711, 465, 453
690, 459, 447
687, 461, 449
686, 459, 447
708, 463, 451
699, 462, 450
696, 462, 450
694, 464, 452
704, 469, 457
690, 462, 450
687, 460, 448
703, 463, 451
699, 462, 450
696, 460, 448
693, 461, 449
692, 460, 448
490, 472, 460
692, 462, 450
681, 461, 449
696, 461, 449
691, 461, 449
678, 463, 451
690, 460, 448
689, 460, 448
697, 461, 449
686, 459, 447
698, 461, 449
696, 464, 452
685, 458, 446
695, 462, 450
688, 462, 450
688, 461, 449
686, 459, 447
675, 459, 447
700, 463, 451
696, 460, 448
695, 462, 450
683, 457, 445
689, 461, 449
699, 462, 450
696, 461, 449
686, 462, 450
698, 462, 450
698, 462, 450
691, 462, 450
698, 462, 450
689, 460, 448
694, 464, 452
685, 459, 447
686, 459, 447
698, 461, 449
699, 459, 447
685, 459, 447
680, 462, 450
669, 454, 442
690, 460, 448
680, 458, 446
693, 460, 448
682, 459, 447
689, 461, 449
687, 459, 447
692, 461, 449
694, 460, 448
696, 461, 449
707, 460, 448
677, 457, 445
690, 463, 451
673, 453, 441
692, 461, 449
690, 460, 448
680, 460, 448
688, 457, 445
691, 460, 448
692, 456, 444
691, 460, 448
689, 460, 448
701, 459, 447
700, 461, 449
700, 458, 446
676, 458, 446
680, 456, 444
682, 461, 449
690, 461, 449
700, 463, 451
689, 461, 449
700, 462, 450
692, 461, 449
692, 461, 449
670, 458, 446
689, 463, 451
690, 460, 448
700, 460, 448
686, 462, 450
689, 461, 449
688, 460, 448
671, 454, 442
682, 459, 447
685, 460, 448
682, 459, 447
692, 462, 450
691, 460, 448
692, 462, 450
681, 458, 446
683, 458, 446
668, 455, 443
697, 464, 452
688, 460, 448
690, 460, 448
690, 460, 448
684, 460, 448
693, 459, 447
702, 459, 447
689, 462, 450
689, 460, 448
688, 461, 449
685, 459, 447
679, 460, 448
684, 458, 446
695, 462, 450
673, 460, 448
685, 463, 451
696, 462, 450
687, 461, 449
685, 459, 447
684, 460, 448
684, 459, 447
684, 459, 447
707, 460, 448
683, 461, 449
699, 459, 447
699, 460, 448
693, 461, 449
685, 460, 448
684, 462, 450
490, 472, 460
691, 461, 449
689, 464, 452
699, 461, 449
